PROVINCE_CODE,PROVINCE_NAME,FBB_QOS_RATIO,RANK,TIME
AGG,An Giang,97.2055,6,2025-07-17 08:00:00
BDG,Bình Dương,95.523,26,2025-07-17 08:00:00
BDH,Bình Định,95.6148,24,2025-07-17 08:00:00
BGG,Bắc Giang,96.1712,16,2025-07-17 08:00:00
BKN,Bắc Kạn,94.4754,58,2025-07-17 08:00:00
BLU,Bạc Liêu,96.1668,17,2025-07-17 08:00:00
BNH,Bắc Ninh,95.2874,37,2025-07-17 08:00:00
BPC,Bình Phước,97.3231,5,2025-07-17 08:00:00
BTE,Bến Tre,96.4684,12,2025-07-17 08:00:00
BTN,Bình Thuận,95.1059,42,2025-07-17 08:00:00
CBG,Cao Bằng,95.1672,41,2025-07-17 08:00:00
CMU,Cà Mau,94.9707,46,2025-07-17 08:00:00
CTO,Cần Thơ,95.3788,34,2025-07-17 08:00:00
DBN,Điện Biên,96.5926,10,2025-07-17 08:00:00
DLC,Đăk Lăk,96.7273,9,2025-07-17 08:00:00
DNG,Đà Nẵng,98.211,3,2025-07-17 08:00:00
DNI,Đồng Nai,96.4556,13,2025-07-17 08:00:00
DNO,Đắk Nông,95.1954,40,2025-07-17 08:00:00
DTP,Đồng Tháp,95.6149,23,2025-07-17 08:00:00
GLI,Gia Lai,95.2396,38,2025-07-17 08:00:00
HBH,Hòa Bình,94.5015,57,2025-07-17 08:00:00
HCM,Hồ Chí Minh,96.1063,18,2025-07-17 08:00:00
HDG,Hải Dương,96.9984,8,2025-07-17 08:00:00
HGG,Hà Giang,94.2834,61,2025-07-17 08:00:00
HGI,Hậu Giang,95.3142,36,2025-07-17 08:00:00
HNI,Hà Nội,95.6728,21,2025-07-17 08:00:00
HNM,Hà Nam,94.9175,48,2025-07-17 08:00:00
HPG,Hải Phòng,95.6301,22,2025-07-17 08:00:00
HTH,Hà Tĩnh,94.8251,52,2025-07-17 08:00:00
HUE,Thừa Thiên Huế,95.0153,44,2025-07-17 08:00:00
HYN,Hưng Yên,94.9611,47,2025-07-17 08:00:00
KGG,Kiên Giang,96.3897,14,2025-07-17 08:00:00
KHA,Khánh Hòa,95.4441,31,2025-07-17 08:00:00
KTM,Kon Tum,95.3237,35,2025-07-17 08:00:00
LAN,Long An,99.347,1,2025-07-17 08:00:00
LCI,Lào Cai,95.4094,33,2025-07-17 08:00:00
LCU,Lai Châu,97.8509,4,2025-07-17 08:00:00
LDG,Lâm Đồng,96.584,11,2025-07-17 08:00:00
LSN,Lạng Sơn,94.6605,55,2025-07-17 08:00:00
NAN,Nghệ An,95.0553,43,2025-07-17 08:00:00
NBH,Ninh Bình,94.8123,53,2025-07-17 08:00:00
NDH,Nam Định,96.3834,15,2025-07-17 08:00:00
NTN,Ninh Thuận,94.7134,54,2025-07-17 08:00:00
PTO,Phú Thọ,93.596,62,2025-07-17 08:00:00
PYN,Phú Yên,95.5003,28,2025-07-17 08:00:00
QBH,Quảng Bình,95.5064,27,2025-07-17 08:00:00
QNH,Quảng Ninh,94.8898,50,2025-07-17 08:00:00
QNI,Quảng Ngãi,94.8998,49,2025-07-17 08:00:00
QNM,Quảng Nam,95.535,25,2025-07-17 08:00:00
QTI,Quảng Trị,98.8342,2,2025-07-17 08:00:00
SLA,Sơn La,94.8547,51,2025-07-17 08:00:00
STG,Sóc Trăng,95.4238,32,2025-07-17 08:00:00
TBH,Thái Bình,93.1063,63,2025-07-17 08:00:00
TGG,Tiền Giang,95.7534,19,2025-07-17 08:00:00
THA,Thanh Hóa,97.0649,7,2025-07-17 08:00:00
TNH,Tây Ninh,95.4443,30,2025-07-17 08:00:00
TNN,Thái Nguyên,95.1974,39,2025-07-17 08:00:00
TQG,Tuyên Quang,94.3547,60,2025-07-17 08:00:00
TVH,Trà Vinh,94.5184,56,2025-07-17 08:00:00
VLG,Vĩnh Long,95.7327,20,2025-07-17 08:00:00
VPC,Vĩnh Phúc,94.9964,45,2025-07-17 08:00:00
VTU,Vũng Tàu,95.4589,29,2025-07-17 08:00:00
YBI,Yên Bái,94.4655,59,2025-07-17 08:00:00
AGG,An Giang,97.1801,6,2025-07-16 08:00:00
BDG,Bình Dương,95.5088,27,2025-07-16 08:00:00
