PROVINCE_CODE,PROVINCE_NAME,FBB_QOS_T1,MBB_QOS_T1,MYTV_QOS_T1,FBB_QOE_T1,MBB_QOE_T1,MYTV_QOE_T1,KPI_QOS_T1,KPI_QOE_T1,KPI_CL_HT_VT_T1,RANK_PROVINCE_CODE,RANK_PROVINCE_NAME,RANK_FBB_QOS_T1,RANK_MBB_QOS_T1,RANK_MYTV_QOS_T1,RANK_FBB_QOE_T1,RANK_MBB_QOE_T1,RANK_MYTV_QOE_T1,RANK_KPI_QOS_T1,RANK_KPI_QOE_T1,RANK_KPI_CL_HT_VT_T1
AGG,An Giang,99.2,98.45,99.99,99.41,98.66,100.0,98.9,99.1,99.0,63,63,10,34,2,1,21,1,18,13,13
BDG,Bình Dương,99.16,98.25,99.75,98.94,97.82,99.68,98.77,98.46,98.62,62,62,11,53,21,25,62,60,35,62,54
BDH,Bình Định,98.95,98.52,99.89,98.77,99.36,100.0,98.92,99.25,99.09,61,59,26,24,15,44,3,1,15,5,5
BGG,Bắc Giang,99.0,98.41,98.96,98.66,97.86,100.0,98.81,98.48,98.65,60,57,23,40,51,51,61,1,29,61,53
BKN,Bắc Kạn,97.97,98.43,98.45,98.93,98.47,100.0,98.32,98.89,98.61,59,56,62,36,58,27,38,1,62,31,57
BLU,Bạc Liêu,98.86,98.43,99.05,98.59,98.63,100.0,98.77,98.82,98.8,58,58,34,36,47,56,24,1,35,42,35
BNH,Bắc Ninh,98.78,98.11,99.82,98.9,97.32,100.0,98.64,98.33,98.49,57,55,39,56,16,29,63,1,47,63,62
BPC,Bình Phước,99.16,98.43,98.59,99.08,98.53,99.7,98.87,98.96,98.92,56,61,11,36,57,15,33,53,24,24,20
BTE,Bến Tre,98.87,98.64,99.54,99.0,98.47,100.0,98.91,98.92,98.92,55,54,31,11,31,23,38,1,16,27,20
BTN,Bình Thuận,99.01,98.58,98.39,98.61,98.63,99.54,98.86,98.79,98.83,54,60,22,19,59,54,24,62,26,44,30
CBG,Cao Bằng,98.76,98.05,99.7,98.87,98.4,100.0,98.59,98.83,98.71,53,53,41,60,24,35,44,1,54,38,46
CMU,Cà Mau,98.84,98.57,99.43,99.14,98.6,100.0,98.76,98.95,98.86,52,52,36,22,35,12,26,1,39,25,26
CTO,Cần Thơ,99.12,98.39,99.98,98.65,99.21,100.0,98.94,99.12,99.03,51,51,15,42,3,52,8,1,12,11,10
DBN,Điện Biên,98.87,98.04,99.55,98.79,98.36,100.0,98.62,98.78,98.7,50,6,31,62,29,41,46,1,49,45,48
DLC,Đăk Lăk,99.43,98.37,99.1,99.28,98.78,99.7,98.9,99.07,98.99,49,4,4,43,46,4,14,53,18,15,15
DNG,Đà Nẵng,99.72,98.26,100.0,98.88,98.41,100.0,99.14,98.84,98.99,48,5,1,52,1,33,43,1,2,37,15
DNI,Đồng Nai,99.02,98.29,99.55,99.06,98.55,99.7,98.71,98.87,98.79,47,2,21,50,29,17,32,53,41,33,39
DNO,Đắk Nông,98.19,98.17,99.45,98.56,98.25,100.0,98.38,98.62,98.5,46,3,60,55,33,57,50,1,61,55,61
DTP,Đồng Tháp,98.94,98.46,99.93,99.13,98.71,100.0,98.89,99.1,99.0,45,1,27,32,8,13,17,1,21,13,13
GLI,Gia Lai,98.45,98.65,98.63,98.73,98.68,100.0,98.66,98.9,98.78,44,50,56,10,56,48,19,1,42,29,40
HBH,Hòa Bình,98.28,98.66,99.05,98.9,98.58,100.0,98.62,98.93,98.78,43,45,59,7,47,29,28,1,49,26,40
HCM,Hồ Chí Minh,99.41,98.46,99.35,99.05,99.25,99.54,98.95,99.18,99.07,42,40,5,32,38,18,6,62,10,9,6
HDG,Hải Dương,98.68,98.49,99.91,98.89,98.16,100.0,98.78,98.73,98.76,41,43,44,28,12,31,57,1,33,49,42
HGG,Hà Giang,98.4,98.07,99.47,98.73,98.36,100.0,98.42,98.75,98.59,40,49,57,58,32,48,46,1,59,46,59
HGI,Hậu Giang,98.78,98.75,99.92,99.24,98.71,100.0,98.95,99.14,99.05,39,41,39,1,10,6,17,1,10,10,8
HNI,Hà Nội,99.0,98.11,99.91,99.32,98.66,100.0,98.65,99.06,98.86,38,47,23,56,12,2,21,1,44,16,26
HNM,Hà Nam,99.08,98.5,99.98,98.94,98.17,100.0,98.97,98.75,98.86,37,48,17,26,3,25,56,1,8,46,26
HPG,Hải Phòng,98.79,98.06,99.56,99.29,98.16,100.0,98.5,98.81,98.66,36,42,37,59,28,3,57,1,57,43,52
HTH,Hà Tĩnh,98.87,98.6,99.75,99.17,98.4,100.0,98.91,98.97,98.94,35,46,31,16,21,10,44,1,16,21,19
HUE,Thừa Thiên Huế,99.04,98.67,99.17,99.0,99.21,100.0,98.97,99.28,99.13,34,15,19,5,43,23,8,1,8,4,4
HYN,Hưng Yên,98.99,98.41,99.8,98.61,97.95,100.0,98.87,98.5,98.69,33,44,25,40,18,54,59,1,24,59,50
KGG,Kiên Giang,99.28,98.47,99.9,99.03,98.51,100.0,98.94,98.86,98.9,32,38,8,31,14,19,35,1,12,34,24
KHA,Khánh Hòa,99.13,98.37,99.92,98.77,98.24,100.0,98.93,98.71,98.82,31,39,13,43,10,44,53,1,14,52,32
